"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-01",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-02",,,,,"0.02",,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-03",,,,,"0.91",,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-04",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-05",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-06",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-07",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-08",,,,,"0.09",,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-11",,"    3","0.00",,,,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-13",,"    2","0.06",,"0.06",,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-14",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-15",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-16",,,,,"0.05",,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-17",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-18",,,,,"0.04",,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-19",,,,,"0.79",,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-20",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-21",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-22",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-23",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-24",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-25",,,,,"0.61","1.7",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-26",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-01-27",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-02",,"    6","0.11",,,,"0.0",,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-03",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-04",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-05",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-06",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-07",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-08",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-09",,,,,"0.91",,,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-10",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-11",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-12",,,,,"0.00","0.0",,,,,,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","38.654683","-90.347102","173.4","2023-02-13",,,,,"0.00","0.0",,,,,,,,,
